date,county,state,fips,cases,deaths
2021-07-12,Howard,Maryland,24027,19387,255
2021-07-12,Kent,Maryland,24029,1364,51
2021-07-12,Montgomery,Maryland,24031,71385,1627
2021-07-12,Prince George's,Maryland,24033,85758,1598
2021-07-12,Queen Anne's,Maryland,24035,3015,52
2021-07-12,Somerset,Maryland,24039,2626,41
2021-07-12,St. Mary's,Maryland,24037,6083,132
2021-07-12,Talbot,Maryland,24041,2187,44
2021-07-12,Unknown,Maryland,,0,15
2021-07-12,Washington,Maryland,24043,14690,333
2021-07-12,Wicomico,Maryland,24045,7749,174
2021-07-12,Worcester,Maryland,24047,3711,106
2021-07-12,Barnstable,Massachusetts,25001,13991,471
2021-07-12,Berkshire,Massachusetts,25003,6582,288
2021-07-12,Bristol,Massachusetts,25005,67028,1749
2021-07-12,Dukes,Massachusetts,25007,1419,0
2021-07-12,Essex,Massachusetts,25009,98097,2406
2021-07-12,Franklin,Massachusetts,25011,2587,113
2021-07-12,Hampden,Massachusetts,25013,52528,1538
2021-07-12,Hampshire,Massachusetts,25015,9185,300
2021-07-12,Middlesex,Massachusetts,25017,135609,3783
2021-07-12,Nantucket,Massachusetts,25019,1521,0
2021-07-12,Norfolk,Massachusetts,25021,55126,1806
2021-07-12,Plymouth,Massachusetts,25023,49373,1446
2021-07-12,Suffolk,Massachusetts,25025,93291,1851
2021-07-12,Unknown,Massachusetts,,47252,12
2021-07-12,Worcester,Massachusetts,25027,77573,2249
2021-07-12,Alcona,Michigan,26001,741,33
2021-07-12,Alger,Michigan,26003,670,7
2021-07-12,Allegan,Michigan,26005,11209,162
2021-07-12,Alpena,Michigan,26007,2273,64
2021-07-12,Antrim,Michigan,26009,1639,30
2021-07-12,Arenac,Michigan,26011,1212,29
2021-07-12,Baraga,Michigan,26013,994,40
2021-07-12,Barry,Michigan,26015,5973,69
2021-07-12,Bay,Michigan,26017,11272,354
2021-07-12,Benzie,Michigan,26019,1283,36
2021-07-12,Berrien,Michigan,26021,15632,294
2021-07-12,Branch,Michigan,26023,5779,121
2021-07-12,Calhoun,Michigan,26025,14601,320
2021-07-12,Cass,Michigan,26027,5508,78
2021-07-12,Charlevoix,Michigan,26029,1685,22
2021-07-12,Cheboygan,Michigan,26031,1931,46
2021-07-12,Chippewa,Michigan,26033,5643,50
2021-07-12,Clare,Michigan,26035,2485,86
2021-07-12,Clinton,Michigan,26037,7665,93
2021-07-12,Crawford,Michigan,26039,996,14
2021-07-12,Delta,Michigan,26041,4057,95
2021-07-12,Dickinson,Michigan,26043,2757,74
2021-07-12,Eaton,Michigan,26045,10167,212
2021-07-12,Emmet,Michigan,26047,2387,43
2021-07-12,Genesee,Michigan,26049,41795,973
2021-07-12,Gladwin,Michigan,26051,2307,61
2021-07-12,Gogebic,Michigan,26053,1416,52
2021-07-12,Grand Traverse,Michigan,26055,6489,100
2021-07-12,Gratiot,Michigan,26057,6988,125
2021-07-12,Hillsdale,Michigan,26059,4406,94
2021-07-12,Houghton,Michigan,26061,3143,43
2021-07-12,Huron,Michigan,26063,4096,82
2021-07-12,Ingham,Michigan,26065,24943,393
2021-07-12,Ionia,Michigan,26067,9359,85
2021-07-12,Iosco,Michigan,26069,2008,75
2021-07-12,Iron,Michigan,26071,1058,53
2021-07-12,Isabella,Michigan,26073,6346,100
2021-07-12,Jackson,Michigan,26075,21088,324
2021-07-12,Kalamazoo,Michigan,26077,23233,402
2021-07-12,Kalkaska,Michigan,26079,1145,27
2021-07-12,Kent,Michigan,26081,73913,862
2021-07-12,Keweenaw,Michigan,26083,174,2
2021-07-12,Lake,Michigan,26085,639,16
2021-07-12,Lapeer,Michigan,26087,9778,215
2021-07-12,Leelanau,Michigan,26089,1245,19
2021-07-12,Lenawee,Michigan,26091,10863,178
2021-07-12,Livingston,Michigan,26093,16834,198
2021-07-12,Luce,Michigan,26095,1338,6
2021-07-12,Mackinac,Michigan,26097,715,3
2021-07-12,Macomb,Michigan,26099,100779,2500
2021-07-12,Manistee,Michigan,26101,1981,24
2021-07-12,Marquette,Michigan,26103,5943,65
2021-07-12,Mason,Michigan,26105,2141,37
2021-07-12,Mecosta,Michigan,26107,3221,37
2021-07-12,Menominee,Michigan,26109,2133,44
2021-07-12,Midland,Michigan,26111,7596,94
2021-07-12,Missaukee,Michigan,26113,1517,27
2021-07-12,Monroe,Michigan,26115,15449,264
2021-07-12,Montcalm,Michigan,26117,8215,120
2021-07-12,Montmorency,Michigan,26119,618,20
2021-07-12,Muskegon,Michigan,26121,18459,381
2021-07-12,Newaygo,Michigan,26123,4907,69
2021-07-12,Oakland,Michigan,26125,118968,2455
2021-07-12,Oceana,Michigan,26127,2777,60
2021-07-12,Ogemaw,Michigan,26129,1748,43
2021-07-12,Ontonagon,Michigan,26131,483,21
2021-07-12,Osceola,Michigan,26133,1966,31
2021-07-12,Oscoda,Michigan,26135,692,31
2021-07-12,Otsego,Michigan,26137,2369,41
2021-07-12,Ottawa,Michigan,26139,32985,441
2021-07-12,Presque Isle,Michigan,26141,1057,34
2021-07-12,Roscommon,Michigan,26143,1904,55
2021-07-12,Saginaw,Michigan,26145,22548,637
2021-07-12,Sanilac,Michigan,26151,4261,125
2021-07-12,Schoolcraft,Michigan,26153,438,5
2021-07-12,Shiawassee,Michigan,26155,6449,109
2021-07-12,St. Clair,Michigan,26147,18539,451
2021-07-12,St. Joseph,Michigan,26149,6268,101
2021-07-12,Tuscola,Michigan,26157,5674,174
2021-07-12,Unknown,Michigan,,743,15
2021-07-12,Van Buren,Michigan,26159,7156,131
2021-07-12,Washtenaw,Michigan,26161,27197,311
2021-07-12,Wayne,Michigan,26163,166400,5184
2021-07-12,Wexford,Michigan,26165,2904,48
2021-07-12,Aitkin,Minnesota,27001,1389,37
2021-07-12,Anoka,Minnesota,27003,42949,462
2021-07-12,Becker,Minnesota,27005,3880,56
2021-07-12,Beltrami,Minnesota,27007,4086,63
2021-07-12,Benton,Minnesota,27009,5836,98
2021-07-12,Big Stone,Minnesota,27011,605,4
2021-07-12,Blue Earth,Minnesota,27013,7651,44
2021-07-12,Brown,Minnesota,27015,3086,40
2021-07-12,Carlton,Minnesota,27017,3549,57
2021-07-12,Carver,Minnesota,27019,10698,49
2021-07-12,Cass,Minnesota,27021,2873,32
2021-07-12,Chippewa,Minnesota,27023,1540,38
2021-07-12,Chisago,Minnesota,27025,6232,52
2021-07-12,Clay,Minnesota,27027,8277,92
2021-07-12,Clearwater,Minnesota,27029,891,17
2021-07-12,Cook,Minnesota,27031,173,0
2021-07-12,Cottonwood,Minnesota,27033,1675,24
2021-07-12,Crow Wing,Minnesota,27035,6846,98
2021-07-12,Dakota,Minnesota,27037,47002,475
2021-07-12,Dodge,Minnesota,27039,1878,3
2021-07-12,Douglas,Minnesota,27041,4764,81
2021-07-12,Faribault,Minnesota,27043,1564,19
2021-07-12,Fillmore,Minnesota,27045,1583,10
2021-07-12,Freeborn,Minnesota,27047,3485,34
2021-07-12,Goodhue,Minnesota,27049,4844,74
2021-07-12,Grant,Minnesota,27051,594,8
2021-07-12,Hennepin,Minnesota,27053,125490,1792
2021-07-12,Houston,Minnesota,27055,1751,16
2021-07-12,Hubbard,Minnesota,27057,1974,41
2021-07-12,Isanti,Minnesota,27059,4420,65
2021-07-12,Itasca,Minnesota,27061,4618,66
2021-07-12,Jackson,Minnesota,27063,1229,12
2021-07-12,Kanabec,Minnesota,27065,1469,28
2021-07-12,Kandiyohi,Minnesota,27067,6692,85
2021-07-12,Kittson,Minnesota,27069,490,22
2021-07-12,Koochiching,Minnesota,27071,958,19
2021-07-12,Lac qui Parle,Minnesota,27073,760,22
2021-07-12,Lake,Minnesota,27075,834,20
2021-07-12,Lake of the Woods,Minnesota,27077,345,4
2021-07-12,Le Sueur,Minnesota,27079,2984,27
2021-07-12,Lincoln,Minnesota,27081,584,3
2021-07-12,Lyon,Minnesota,27083,3646,54
2021-07-12,Mahnomen,Minnesota,27087,565,9
2021-07-12,Marshall,Minnesota,27089,888,17
2021-07-12,Martin,Minnesota,27091,2355,33
2021-07-12,McLeod,Minnesota,27085,4327,61
2021-07-12,Meeker,Minnesota,27093,2643,44
2021-07-12,Mille Lacs,Minnesota,27095,3126,55
2021-07-12,Morrison,Minnesota,27097,4259,62
2021-07-12,Mower,Minnesota,27099,4737,33
2021-07-12,Murray,Minnesota,27101,1071,10
2021-07-12,Nicollet,Minnesota,27103,3321,45
2021-07-12,Nobles,Minnesota,27105,4085,50
